region,species_id,n_presence,lambda_s,lambda_selection
AWT,awt01,178,0.001,po_random_5fold
AWT,awt02,149,0.01,po_random_5fold
AWT,awt03,219,0.0001,po_random_5fold
AWT,awt04,216,0.01,po_random_5fold
AWT,awt05,114,0.001,po_random_5fold
AWT,awt06,265,0.01,po_random_5fold
AWT,awt07,158,0.01,po_random_5fold
AWT,awt08,231,0.01,po_random_5fold
AWT,awt09,112,1.0,po_random_5fold
AWT,awt10,122,0.001,po_random_5fold
AWT,awt11,82,0.0001,po_random_5fold
AWT,awt12,32,0.1,po_random_5fold
AWT,awt13,122,0.001,po_random_5fold
AWT,awt14,99,0.0001,po_random_5fold
AWT,awt15,254,0.01,po_random_5fold
AWT,awt16,144,0.1,po_random_5fold
AWT,awt17,184,0.001,po_random_5fold
AWT,awt18,242,0.01,po_random_5fold
AWT,awt19,78,0.001,po_random_5fold
AWT,awt20,104,0.1,po_random_5fold
AWT,awt21,17,0.01,frozen_n_po_lt_30
AWT,awt22,9,0.01,frozen_n_po_lt_30
AWT,awt23,56,1.0,po_random_5fold
AWT,awt24,10,0.01,frozen_n_po_lt_30
AWT,awt25,12,0.01,frozen_n_po_lt_30
AWT,awt26,34,1.0,po_random_5fold
AWT,awt27,41,1.0,po_random_5fold
AWT,awt28,31,1.0,po_random_5fold
AWT,awt29,44,0.01,po_random_5fold
AWT,awt30,66,1.0,po_random_5fold
AWT,awt31,14,0.01,frozen_n_po_lt_30
AWT,awt32,74,0.0001,po_random_5fold
AWT,awt33,18,0.01,frozen_n_po_lt_30
AWT,awt34,28,0.01,frozen_n_po_lt_30
AWT,awt35,44,1.0,po_random_5fold
AWT,awt36,56,0.1,po_random_5fold
AWT,awt37,28,0.01,frozen_n_po_lt_30
AWT,awt38,42,1.0,po_random_5fold
AWT,awt39,20,0.01,frozen_n_po_lt_30
AWT,awt40,57,0.1,po_random_5fold
CAN,can01,16,0.01,frozen_n_po_lt_30
CAN,can02,740,0.0001,po_random_5fold
CAN,can03,165,1.0,po_random_5fold
CAN,can04,42,0.0001,po_random_5fold
CAN,can05,138,1.0,po_random_5fold
CAN,can06,27,0.01,frozen_n_po_lt_30
CAN,can07,221,1.0,po_random_5fold
CAN,can08,322,0.0001,po_random_5fold
CAN,can09,119,0.1,po_random_5fold
CAN,can10,234,0.0001,po_random_5fold
CAN,can11,478,1.0,po_random_5fold
CAN,can12,312,0.001,po_random_5fold
CAN,can13,39,1.0,po_random_5fold
CAN,can14,18,0.01,frozen_n_po_lt_30
CAN,can15,721,0.1,po_random_5fold
CAN,can16,57,1.0,po_random_5fold
CAN,can17,313,0.001,po_random_5fold
CAN,can18,612,0.01,po_random_5fold
CAN,can19,109,0.1,po_random_5fold
CAN,can20,380,0.001,po_random_5fold
NSW,nsw01,26,0.01,frozen_n_po_lt_30
NSW,nsw02,6,0.01,frozen_n_po_lt_30
NSW,nsw03,12,0.01,frozen_n_po_lt_30
NSW,nsw04,49,0.0001,po_random_5fold
NSW,nsw05,22,0.01,frozen_n_po_lt_30
NSW,nsw06,44,1.0,po_random_5fold
NSW,nsw07,28,0.01,frozen_n_po_lt_30
NSW,nsw08,129,1.0,po_random_5fold
NSW,nsw09,426,1.0,po_random_5fold
NSW,nsw10,65,1.0,po_random_5fold
NSW,nsw11,48,1.0,po_random_5fold
NSW,nsw12,139,0.1,po_random_5fold
NSW,nsw13,155,1.0,po_random_5fold
NSW,nsw14,315,0.01,po_random_5fold
NSW,nsw15,236,0.01,po_random_5fold
NSW,nsw16,120,1.0,po_random_5fold
NSW,nsw17,148,0.1,po_random_5fold
NSW,nsw18,69,0.1,po_random_5fold
NSW,nsw19,47,1.0,po_random_5fold
NSW,nsw20,18,0.01,frozen_n_po_lt_30
NSW,nsw21,37,0.0001,po_random_5fold
NSW,nsw22,17,0.01,frozen_n_po_lt_30
NSW,nsw23,60,1.0,po_random_5fold
NSW,nsw24,68,1.0,po_random_5fold
NSW,nsw25,23,0.01,frozen_n_po_lt_30
NSW,nsw26,10,0.01,frozen_n_po_lt_30
NSW,nsw27,23,0.01,frozen_n_po_lt_30
NSW,nsw28,53,1.0,po_random_5fold
NSW,nsw29,12,0.01,frozen_n_po_lt_30
NSW,nsw31,24,0.01,frozen_n_po_lt_30
NSW,nsw32,28,0.01,frozen_n_po_lt_30
NSW,nsw33,15,0.01,frozen_n_po_lt_30
NSW,nsw34,6,0.01,frozen_n_po_lt_30
NSW,nsw35,6,0.01,frozen_n_po_lt_30
NSW,nsw36,7,0.01,frozen_n_po_lt_30
NSW,nsw37,6,0.01,frozen_n_po_lt_30
NSW,nsw38,9,0.01,frozen_n_po_lt_30
NSW,nsw39,16,0.01,frozen_n_po_lt_30
NSW,nsw40,14,0.01,frozen_n_po_lt_30
NSW,nsw41,5,0.01,frozen_n_po_lt_30
NSW,nsw42,11,0.01,frozen_n_po_lt_30
NSW,nsw43,42,0.1,po_random_5fold
NSW,nsw44,16,0.01,frozen_n_po_lt_30
NSW,nsw45,22,0.01,frozen_n_po_lt_30
NSW,nsw46,14,0.01,frozen_n_po_lt_30
NSW,nsw47,41,0.1,po_random_5fold
NSW,nsw48,79,1.0,po_random_5fold
NSW,nsw49,110,0.1,po_random_5fold
NSW,nsw50,44,1.0,po_random_5fold
NSW,nsw51,63,1.0,po_random_5fold
NSW,nsw52,186,1.0,po_random_5fold
NSW,nsw53,34,0.1,po_random_5fold
NSW,nsw54,118,1.0,po_random_5fold
NZ,nz01,23,0.01,frozen_n_po_lt_30
NZ,nz02,80,0.0001,po_random_5fold
NZ,nz03,32,0.01,po_random_5fold
NZ,nz04,48,0.1,po_random_5fold
NZ,nz05,211,0.1,po_random_5fold
NZ,nz06,35,0.01,po_random_5fold
NZ,nz07,65,0.1,po_random_5fold
NZ,nz08,124,1.0,po_random_5fold
NZ,nz09,36,1.0,po_random_5fold
NZ,nz10,27,0.01,frozen_n_po_lt_30
NZ,nz11,21,0.01,frozen_n_po_lt_30
NZ,nz12,25,0.01,frozen_n_po_lt_30
NZ,nz13,21,0.01,frozen_n_po_lt_30
NZ,nz14,19,0.01,frozen_n_po_lt_30
NZ,nz15,32,0.0001,po_random_5fold
NZ,nz16,40,1.0,po_random_5fold
NZ,nz17,94,0.1,po_random_5fold
NZ,nz18,43,1.0,po_random_5fold
NZ,nz19,127,0.1,po_random_5fold
NZ,nz20,33,0.01,po_random_5fold
NZ,nz21,21,0.01,frozen_n_po_lt_30
NZ,nz22,130,0.0001,po_random_5fold
NZ,nz23,23,0.01,frozen_n_po_lt_30
NZ,nz24,22,0.01,frozen_n_po_lt_30
NZ,nz25,113,0.1,po_random_5fold
NZ,nz26,22,0.01,frozen_n_po_lt_30
NZ,nz27,40,0.1,po_random_5fold
NZ,nz28,18,0.01,frozen_n_po_lt_30
NZ,nz29,21,0.01,frozen_n_po_lt_30
NZ,nz30,101,1.0,po_random_5fold
NZ,nz31,47,0.0001,po_random_5fold
NZ,nz32,105,0.1,po_random_5fold
NZ,nz33,19,0.01,frozen_n_po_lt_30
NZ,nz34,42,1.0,po_random_5fold
NZ,nz35,24,0.01,frozen_n_po_lt_30
NZ,nz36,170,0.001,po_random_5fold
NZ,nz37,22,0.01,frozen_n_po_lt_30
NZ,nz38,147,0.001,po_random_5fold
NZ,nz39,21,0.01,frozen_n_po_lt_30
NZ,nz40,19,0.01,frozen_n_po_lt_30
NZ,nz41,20,0.01,frozen_n_po_lt_30
NZ,nz42,27,0.01,frozen_n_po_lt_30
NZ,nz43,137,1.0,po_random_5fold
NZ,nz44,65,1.0,po_random_5fold
NZ,nz45,26,0.01,frozen_n_po_lt_30
NZ,nz46,36,0.1,po_random_5fold
NZ,nz47,87,1.0,po_random_5fold
NZ,nz48,43,0.0001,po_random_5fold
NZ,nz49,37,0.001,po_random_5fold
NZ,nz50,131,0.1,po_random_5fold
NZ,nz51,42,0.01,po_random_5fold
NZ,nz52,174,1.0,po_random_5fold
SA,sa01,120,0.001,po_random_5fold
SA,sa02,150,1.0,po_random_5fold
SA,sa03,28,0.01,frozen_n_po_lt_30
SA,sa04,60,0.1,po_random_5fold
