region,species_id,n_presence,lambda_s,additive_kan_ipp,gam_ipp_same_basis,maxnet_bg10k,deep2_rphi,deep2_rx,deep3_rphi,deep3_rx,e2e_auc,remediation,failed
AWT,awt01,178,0.001,0.5543039971949509,0.5547861150070126,0.4813727208976157,0.5757947639083684,0.571455703599813,0.5823252688172044,0.5468969144460027,0.5494389901823282,primary,False
AWT,awt02,149,0.01,0.754690982776089,0.755096251266464,0.7874772036474165,0.8535494765281998,0.6974265450861196,0.7470584262073624,0.7260925363053022,0.6564133738601824,primary,False
AWT,awt03,219,0.0001,0.5269113486902531,0.5272420000734781,0.4994305448400014,0.5287850398618613,0.527413448938854,0.5264092484416523,0.5403700846222614,0.5214372313457512,primary,False
AWT,awt04,216,0.01,0.4647377938517179,0.4647030185004868,0.4883850326888301,0.4662447257383966,0.4688644688644688,0.4633699633699633,0.4654796680113136,0.4431075253860064,primary,False
AWT,awt05,114,0.001,0.7291409483697624,0.7287052501633868,0.7380727616004648,0.7121245128651998,0.7275191828238086,0.7222181879795705,0.7408805944859971,0.6928327645051194,primary,False
AWT,awt06,265,0.01,0.6439481318374052,0.6437034706930902,0.7244765999091259,0.6278237973739703,0.6267053464285298,0.6225461069751727,0.6637190824042035,0.6471287267135017,primary,False
AWT,awt07,158,0.01,0.4987368320701654,0.4989274989274989,0.5030268363601696,0.506617728839951,0.5184390739946296,0.5022165022165022,0.5021052798830576,0.5668049001382335,primary,False
AWT,awt08,231,0.01,0.7595915285318758,0.7590881305958075,0.6652763295099061,0.7600230124770775,0.7633430417221003,0.7373581196888521,0.7233109201395131,0.6279529682499732,primary,False
AWT,awt09,112,1.0,0.7238243123336291,0.7238243123336291,0.7072611653356995,0.6889233954451345,0.6760327319333531,0.6570294784580498,0.654121068717342,0.6010056196391601,R1,False
AWT,awt10,122,0.001,0.6625885648376998,0.6749464491679025,0.6717745921898172,0.6759625418794969,0.6465233152084363,0.6548854836052068,0.6327236777063766,0.6206953369583128,primary,False
AWT,awt11,82,0.0001,0.4382498235709245,0.4403669724770642,0.4067278287461774,0.4628714812201051,0.4458558770485375,0.4511095428526621,0.47580961342429234,0.4476593742648789,primary,False
AWT,awt12,32,0.1,0.8614969135802468,0.8614969135802468,0.8751929012345679,0.8127572016460906,0.7899948559670783,0.7299382716049383,0.7009387860082305,0.6601080246913581,R1,False
AWT,awt13,122,0.001,0.733028505519855,0.7326577689899489,0.7493821057834898,0.7286071291261602,0.7222771461525787,0.7139561707035756,0.7157274674575712,0.7065002471576866,primary,False
AWT,awt14,99,0.0001,0.7740979020979021,0.7726433566433567,0.8827412587412587,0.7685407925407924,0.7877296037296038,0.7743776223776223,0.7563076923076925,0.6798321678321678,primary,False
AWT,awt15,254,0.01,0.7707313454977007,0.7699896157840083,0.8091158581812787,0.7836621668397369,0.7641793996934184,0.7652549077782723,0.7555382485289027,0.7654650645304851,primary,False
AWT,awt16,144,0.1,0.6709125905797102,0.6709125905797102,0.7377151268115941,0.6635152475845411,0.6663458635265701,0.6226788949275363,0.6219240640096618,0.6161684782608696,primary,False
AWT,awt17,184,0.001,0.7980828315103846,0.7974683544303797,0.8130760722625047,0.7957205085139214,0.7948738956481368,0.7633443939207734,0.7218193983586634,0.7136946458563763,primary,False
AWT,awt18,242,0.01,0.600302038761641,0.6001941677753407,0.5242889504153033,0.5955796866947131,0.5884242446034543,0.5645248283053468,0.5770738197116249,0.5967422962137283,primary,False
AWT,awt19,78,0.001,0.6463428442028986,0.6450407608695652,0.6829710144927537,0.6473429951690822,0.648022342995169,0.634171195652174,0.6214900362318841,0.6295289855072465,primary,False
AWT,awt20,104,0.1,0.5161538461538462,0.5161538461538462,0.4892307692307692,0.5165064102564102,0.5434775641025641,0.5601923076923075,0.45733974358974355,0.5636538461538461,primary,False
AWT,awt21,17,0.01,0.5689024390243902,0.5701219512195121,0.5878048780487806,0.6351626016260163,0.5646341463414634,0.5689024390243902,0.5380081300813008,0.6067073170731707,primary,False
AWT,awt22,9,0.01,0.6732542819499341,0.6732542819499341,0.7191480017566974,0.6442687747035574,0.5791245791245792,0.6193822280778802,0.6842336407553798,0.6104523495827845,primary,False
AWT,awt23,56,1.0,0.6539792387543253,0.6539792387543253,0.6561418685121108,0.6559976931949251,0.6872837370242215,0.6591695501730104,0.6368223760092272,0.5696366782006921,primary,False
AWT,awt24,10,0.01,0.4967901234567901,0.4962962962962962,0.6399999999999999,0.5937448559670782,0.468477366255144,0.573991769547325,0.47407407407407404,0.5037037037037037,primary,False
AWT,awt25,12,0.01,0.5224358974358975,0.5219017094017094,0.4663461538461538,0.4797008547008547,0.48344017094017083,0.5190527065527065,0.5270655270655271,0.6025641025641025,primary,False
AWT,awt26,34,1.0,0.7034883720930232,0.7034883720930232,0.7289244186046511,0.6930717054263565,0.7032461240310077,0.6116763565891472,0.6877422480620154,0.342296511627907,R2,True
AWT,awt27,41,1.0,0.7175308641975309,0.7175308641975309,0.748641975308642,0.7145679012345679,0.728724279835391,0.6256790123456789,0.637037037037037,0.5822222222222222,R1,False
AWT,awt28,31,1.0,0.849025974025974,0.849025974025974,0.8798701298701299,0.7973484848484849,0.8035714285714285,0.6658549783549783,0.7757034632034632,0.5909090909090909,primary,False
AWT,awt29,44,0.01,0.8360153256704981,0.8375478927203065,0.8375478927203065,0.8339719029374203,0.8633461047254151,0.8104725415070243,0.6878671775223499,0.5823754789272031,primary,False
AWT,awt30,66,1.0,0.6201141853315766,0.6201141853315766,0.6104523495827844,0.6006441223832527,0.5472112428634167,0.6209925340360124,0.6234811886985799,0.5792709705753183,primary,False
AWT,awt31,14,0.01,0.6919354838709676,0.6919354838709676,0.6987903225806452,0.7334677419354838,0.722983870967742,0.6240591397849463,0.6186827956989247,0.6060483870967742,primary,False
AWT,awt32,74,0.0001,0.6003134796238244,0.5991379310344828,0.5760188087774295,0.6091954022988507,0.6481191222570533,0.6099791013584117,0.6201671891327064,0.5775862068965518,primary,False
AWT,awt33,18,0.01,0.7029914529914529,0.7029914529914529,0.5833333333333333,0.6745014245014245,0.6438746438746439,0.7270299145299145,0.5918803418803419,0.5860042735042735,primary,False
